dt,LandAverageTemperature
1771-07-01,13.828
1771-08-01,14.204
1771-09-01,11.363
1771-10-01,10.317
1771-11-01,4.916
1771-12-01,2.522
1772-01-01,1.253
1772-02-01,1.478
1772-03-01,3.057
1772-04-01,8.858
1772-05-01,9.531
1772-06-01,12.647
1772-07-01,14.581
1772-08-01,14.098
1772-09-01,10.303
1772-10-01,9.268
1772-11-01,7.736
1772-12-01,5.512
1773-01-01,-437
1773-02-01,1.421
1773-03-01,4.422
1773-04-01,9.415
1773-05-01,12.764
1773-06-01,12.811
1773-07-01,14.484
1773-08-01,13.624
1773-09-01,12.488
1773-10-01,9.206
1773-11-01,3.369
1773-12-01,5.091
1774-01-01,-325
1774-02-01,4.914
1774-03-01,5.643
1774-04-01,10.153
1774-05-01,16.025
1774-06-01,15.371
1774-07-01,16.521
1774-08-01,14.099
1774-09-01,10.936
1774-10-01,8.59
1774-11-01,3.029
1774-12-01,0.31
1775-01-01,4.261
1775-02-01,6.427
1775-03-01,7.759
1775-04-01,7.952
1775-05-01,11.399
1775-06-01,12.314
1775-07-01,14.719
1775-08-01,14.435
1775-09-01,11.096
1775-10-01,10.372
1775-11-01,8.179
1775-12-01,1.284
1776-01-01,-806
1776-02-01,4.825
1776-03-01,4.652
1776-04-01,7.44
1776-05-01,10.475
1776-06-01,14.564
1776-07-01,14.108
1776-08-01,14.837
1776-09-01,10.602
1776-10-01,08.06
1776-11-01,5.87
1776-12-01,5.021
1777-01-01,6.021
1777-02-01,4.919
1777-03-01,5.572
1777-04-01,6.362
1777-05-01,11.389
1777-06-01,12.323
1777-07-01,12.743
1777-08-01,12.815
1777-09-01,11.379
1777-10-01,6.956
1777-11-01,5.529
1777-12-01,3.067
1778-01-01,2.521
1778-02-01,6.094
1778-03-01,4.604
1778-04-01,10.984
1778-05-01,11.286
1778-06-01,11.731
1778-07-01,15.037
1778-08-01,12.869
1778-09-01,13.377
1778-10-01,8.049
1778-11-01,3.854
1778-12-01,2.101
1779-01-01,1.47
1779-02-01,5.14
1779-03-01,6.967
1779-04-01,9.965
1779-05-01,14.18
1779-06-01,12.547
1779-07-01,13.659
1779-08-01,13.799
1779-09-01,12.683
1779-10-01,9.35
1779-11-01,5.77
1779-12-01,2.269
1780-01-01,2.515
1780-02-01,04.08
1780-03-01,5.724
1780-04-01,13.732
1780-05-01,15.757
1780-06-01,14.747
1780-07-01,16.183
1780-08-01,12.947
1780-09-01,8.844
1780-10-01,9.376
1780-11-01,6.706
1780-12-01,2.584
1781-01-01,2.401
1781-02-01,2.267
1781-03-01,4.772
1781-04-01,6.923
1781-05-01,11.102
1781-06-01,11.678
1781-07-01,14.285
1781-08-01,14.141
1781-09-01,10.304
1781-10-01,8.547
1781-11-01,7.523
1781-12-01,3.288
1782-01-01,341
1782-02-01,639
1782-03-01,2.565
1782-04-01,8.618
1782-05-01,10.99
1782-06-01,13.801
1782-07-01,13.925
1782-08-01,15.683
1782-09-01,12.398
1782-10-01,8.978
1782-11-01,4.956
1782-12-01,1.921
1783-01-01,-1.431
1783-02-01,5.294
1783-03-01,4.799
1783-04-01,8.574
1783-05-01,11.819
1783-06-01,14.34
1783-07-01,13.069
1783-08-01,13.971
1783-09-01,9.958
1783-10-01,7.357
1783-11-01,2.196
1783-12-01,2.224
1784-01-01,2.596
1784-02-01,989
1784-03-01,3.919
1784-04-01,8.142
1784-05-01,10.013
1784-06-01,12.803
1784-07-01,14.947
1784-08-01,15.861
1784-09-01,10.266
1784-10-01,6.836
1784-11-01,4.557
1784-12-01,3.415
1785-01-01,865
1785-02-01,1.045
1785-03-01,2.289
1785-04-01,6.379
1785-05-01,9.853
1785-06-01,13.744
1785-07-01,14.468
1785-08-01,14.466
1785-09-01,10.497
1785-10-01,7.351
1785-11-01,5.526
1785-12-01,1.873
1786-01-01,763
1786-02-01,2.657
1786-03-01,5.648
1786-04-01,9.318
1786-05-01,11.583
1786-06-01,13.035
1786-07-01,15.294
1786-08-01,14.455
1786-09-01,12.158
1786-10-01,7.712
1786-11-01,5.741
1786-12-01,734
1787-01-01,2.845
1787-02-01,2.563
1787-03-01,4.698
1787-04-01,7.772
1787-05-01,11.403
1787-06-01,14.369
1787-07-01,13.451
1787-08-01,13.555
1787-09-01,10.357
1787-10-01,7.772
1787-11-01,5.801
1787-12-01,1.796
1788-01-01,735
1788-02-01,3.581
1788-03-01,5.336
1788-04-01,8.714
1788-05-01,10.428
1788-06-01,13.808
1788-07-01,16.468
1788-08-01,13.885
1788-09-01,11.699
1788-10-01,9.349
1788-11-01,6.111
1788-12-01,1.252
1789-01-01,3.706
1789-02-01,1.675
1789-03-01,3.989
1789-04-01,7.694
1789-05-01,11.666
1789-06-01,13.507
1789-07-01,15.462
1789-08-01,13.84
1789-09-01,12.018
1789-10-01,7.39
1789-11-01,5.964
1789-12-01,3.099
1790-01-01,2.444
1790-02-01,2.973
1790-03-01,4.582
1790-04-01,6.053
1790-05-01,10.357
1790-06-01,13.746
1790-07-01,13.812
1790-08-01,13.925
1790-09-01,11.233
1790-10-01,8.577
1790-11-01,5.331
1790-12-01,2.755
1791-01-01,1.493
1791-02-01,3.466
1791-03-01,4.79
1791-04-01,9.127
1791-05-01,9.859
1791-06-01,13.231
1791-07-01,13.612
1791-08-01,13.744
1791-09-01,11.677
1791-10-01,08.08
1791-11-01,6.206
1791-12-01,3.526
1792-01-01,348
1792-02-01,3.62
1792-03-01,4.429
1792-04-01,7.994
1792-05-01,11.321
1792-06-01,13.581
1792-07-01,14.212
1792-08-01,12.281
1792-09-01,12.491
1792-10-01,8.097
1792-11-01,5.306
1792-12-01,3.388
1793-01-01,521
1793-02-01,4.745
1793-03-01,5.042
1793-04-01,8.643
1793-05-01,11.059
1793-06-01,13.146
1793-07-01,14.336
1793-08-01,13.16
1793-09-01,12.002
1793-10-01,8.393
1793-11-01,5.666
1793-12-01,2.037
1794-01-01,3.71
1794-02-01,3.605
1794-03-01,5.696
1794-04-01,9.367
1794-05-01,12.376
1794-06-01,11.994
1794-07-01,12.874
1794-08-01,13.484
1794-09-01,11.896
1794-10-01,9.108
1794-11-01,5.284
1794-12-01,2.918
1795-01-01,2.731
1795-02-01,4.39
1795-03-01,5.709
1795-04-01,8.918
1795-05-01,11.029
1795-06-01,13.293
1795-07-01,14.295
1795-08-01,13.14
1795-09-01,11.133
1795-10-01,7.786
1795-11-01,5.207
1795-12-01,2.573
1796-01-01,2.844
1796-02-01,2.736
1796-03-01,3.477
1796-04-01,7.773
1796-05-01,11.273
1796-06-01,14.216
1796-07-01,14.314
1796-08-01,14.722
1796-09-01,12.012
1796-10-01,8.924
1796-11-01,5.702
1796-12-01,1.259
1797-01-01,4.396
1797-02-01,4.957
1797-03-01,4.056
1797-04-01,6.6
1797-05-01,10.417
1797-06-01,13.852
1797-07-01,14.107
1797-08-01,14.04
1797-09-01,12.459
1797-10-01,9.191
1797-11-01,4.777
1797-12-01,3.275
1798-01-01,2.679
1798-02-01,3.213
1798-03-01,7.008
1798-04-01,8.083
1798-05-01,11.769
1798-06-01,13.246
1798-07-01,14.951
1798-08-01,14.754
1798-09-01,11.627
1798-10-01,8.655
1798-11-01,6.031
1798-12-01,2.027
1799-01-01,1.923
1799-02-01,2.078
1799-03-01,3.986
1799-04-01,8.786
1799-05-01,11.353
1799-06-01,13.68
1799-07-01,14.869
1799-08-01,14.086
1799-09-01,12.311
1799-10-01,9.606
1799-11-01,5.904
1799-12-01,3.487
1800-01-01,2.815
1800-02-01,3.634
1800-03-01,4.452
1800-04-01,9.125
1800-05-01,11.097
1800-06-01,13.606
1800-07-01,13.763
1800-08-01,13.619
1800-09-01,10.795
1800-10-01,9.469
1800-11-01,5.572
1800-12-01,3.864
1801-01-01,2.687
1801-02-01,3.149
1801-03-01,6.455
1801-04-01,7.404
1801-05-01,12.123
1801-06-01,12.536
1801-07-01,14.676
1801-08-01,13.187
1801-09-01,11.462
1801-10-01,9.099
1801-11-01,5.72
1801-12-01,4.578
1802-01-01,3.74
1802-02-01,2.828
1802-03-01,5.201
1802-04-01,7.623
1802-05-01,10.457
1802-06-01,14.471
1802-07-01,14.628
1802-08-01,14.039
1802-09-01,11.788
1802-10-01,9.747
1802-11-01,5.535
1802-12-01,2.881
1803-01-01,602
1803-02-01,1.443
1803-03-01,4.875
1803-04-01,9.291
1803-05-01,11.795
1803-06-01,13.821
1803-07-01,15.106
1803-08-01,15.366
1803-09-01,12.33
1803-10-01,9.119
1803-11-01,5.961
1803-12-01,2.327
1804-01-01,2.445
1804-02-01,1.939
1804-03-01,4.425
1804-04-01,10.057
1804-05-01,12.107
1804-06-01,13.774
1804-07-01,15.774
1804-08-01,14.511
1804-09-01,12.468
1804-10-01,9.282
1804-11-01,7.132
1804-12-01,2.224
1805-01-01,2.822
1805-02-01,2.557
1805-03-01,5.76
1805-04-01,8.123
1805-05-01,11.104
1805-06-01,14.027
1805-07-01,14.702
1805-08-01,15.27
1805-09-01,12.039
1805-10-01,7.636
1805-11-01,4.555
1805-12-01,4.158
1806-01-01,2.917
1806-02-01,2.937
1806-03-01,4.691
1806-04-01,8.032
1806-05-01,11.503
1806-06-01,12.418
1806-07-01,13.923
1806-08-01,14.593
1806-09-01,12.549
1806-10-01,8.426
1806-11-01,5.231
1806-12-01,3.989
1807-01-01,1.055
1807-02-01,4.094
1807-03-01,4.788
1807-04-01,6.971
1807-05-01,9.331
1807-06-01,13.293
1807-07-01,14.138
1807-08-01,13.799
1807-09-01,12.615
1807-10-01,8.857
1807-11-01,6.015
1807-12-01,4.421
1808-01-01,1.131
1808-02-01,2.142
1808-03-01,4.361
1808-04-01,7.482
1808-05-01,9.357
1808-06-01,13.429
1808-07-01,14.491
1808-08-01,13.047
1808-09-01,12.711
1808-10-01,7.972
1808-11-01,4.512
1808-12-01,887
1809-01-01,208
1809-02-01,856
1809-03-01,3.425
1809-04-01,7.833
1809-05-01,9.243
1809-06-01,12.998
1809-07-01,12.656
1809-08-01,12.905
1809-09-01,10.967
1809-10-01,8.65
1809-11-01,3.099
1809-12-01,2.077
1810-01-01,888
1810-02-01,2.391
1810-03-01,5.014
1810-04-01,6.533
1810-05-01,9.069
1810-06-01,11.934
1810-07-01,12.551
1810-08-01,12.041
1810-09-01,9.532
1810-10-01,6.632
1810-11-01,3.827
1810-12-01,2.66
1811-01-01,1.374
1811-02-01,0.45
1811-03-01,3.701
1811-04-01,6.302
1811-05-01,9.443
1811-06-01,12.137
1811-07-01,11.956
1811-08-01,13.326
1811-09-01,10.368
1811-10-01,6.58
1811-11-01,3.503
1811-12-01,3.174
1812-01-01,977
1812-02-01,131
1812-03-01,2.044
1812-04-01,6.95
1812-05-01,9.58
1812-06-01,12.005
1812-07-01,14.355
1812-08-01,15.018
1812-09-01,10.185
1812-10-01,7.593
1812-11-01,4.369
1812-12-01,1.348
1813-01-01,-1.385
1813-02-01,2.258
1813-03-01,1.596
1813-04-01,8.182
1813-05-01,11.367
1813-06-01,13.242
1813-07-01,14.521
1813-08-01,13.097
1813-09-01,12.339
1813-10-01,8.666
1813-11-01,6.825
1813-12-01,2.171
1814-01-01,1.502
1814-02-01,1.689
1814-03-01,2.664
1814-04-01,7.193
1814-05-01,9.417
1814-06-01,12.818
1814-07-01,12.532
1814-08-01,12.668
1814-09-01,10.676
1814-10-01,7.374
1814-11-01,6.739
1814-12-01,5.829
1815-01-01,2.051
1815-02-01,2.273
1815-03-01,3.663
1815-04-01,6.588
1815-05-01,9.845
1815-06-01,11.162
1815-07-01,14.394
1815-08-01,13.209
1815-09-01,11.151
1815-10-01,7.137
1815-11-01,4.178
1815-12-01,1.221
1816-01-01,2.737
1816-02-01,676
1816-03-01,3.905
1816-04-01,7.606
1816-05-01,10.594
1816-06-01,11.79
1816-07-01,12.267
1816-08-01,12.57
1816-09-01,10.39
1816-10-01,5.699
1816-11-01,4.058
1816-12-01,958
1817-01-01,1.54
1817-02-01,3.649
1817-03-01,4.569
1817-04-01,7.889
1817-05-01,9.476
1817-06-01,11.287
1817-07-01,12.072
1817-08-01,13.403
1817-09-01,8.812
1817-10-01,6.203
1817-11-01,4.638
1817-12-01,0.17
1818-01-01,1.204
1818-02-01,755
1818-03-01,5.565
1818-04-01,9.901
1818-05-01,11.247
1818-06-01,13.825
1818-07-01,13.51
1818-08-01,13.166
1818-09-01,10.578
1818-10-01,6.654
1818-11-01,5.035
1818-12-01,2.507
1819-01-01,1.014
1819-02-01,2.286
1819-03-01,2.931
1819-04-01,7.029
1819-05-01,9.851
1819-06-01,12.526
1819-07-01,13.038
1819-08-01,12.557
1819-09-01,10.894
1819-10-01,9.312
1819-11-01,5.15
1819-12-01,1.842
1820-01-01,1.236
1820-02-01,2.145
1820-03-01,4.618
1820-04-01,8.7
1820-05-01,11.62
1820-06-01,13.323
1820-07-01,13.311
1820-08-01,11.978
1820-09-01,11.16
1820-10-01,7.588
1820-11-01,4.443
1820-12-01,1.273
1821-01-01,2.999
1821-02-01,3.758
1821-03-01,5.462
1821-04-01,7.739
1821-05-01,11.3
1821-06-01,12.608
1821-07-01,13.039
1821-08-01,13.145
1821-09-01,10.178
1821-10-01,8.535
1821-11-01,5.601
1821-12-01,2.717
1822-01-01,2.759
1822-02-01,4.465
1822-03-01,7.787
1822-04-01,8.278
1822-05-01,10.486
1822-06-01,13.067
1822-07-01,14.212
1822-08-01,13.215
1822-09-01,10.695
1822-10-01,7.774
1822-11-01,4.501
1822-12-01,1.021
1823-01-01,1.758
1823-02-01,1.966
1823-03-01,5.068
1823-04-01,7.665
1823-05-01,10.563
1823-06-01,13.958
1823-07-01,14.197
1823-08-01,13.13
1823-09-01,10.198
1823-10-01,7.642
1823-11-01,4.508
1823-12-01,1.971
1824-01-01,2.651
1824-02-01,2.679
1824-03-01,5.357
1824-04-01,8.375
1824-05-01,11.132
1824-06-01,13.427
1824-07-01,14.83
1824-08-01,13.437
1824-09-01,11.528
1824-10-01,8.197
1824-11-01,5.877
1824-12-01,5.076
1825-01-01,3.213
1825-02-01,3.092
1825-03-01,5.365
1825-04-01,8.988
1825-05-01,10.751
1825-06-01,13.765
1825-07-01,14.007
1825-08-01,13.269
1825-09-01,11.148
1825-10-01,7.979
1825-11-01,6.058
1825-12-01,3.037
1826-01-01,1.893
1826-02-01,1.533
1826-03-01,4.888
1826-04-01,8.403
1826-05-01,11.804
1826-06-01,13.02
1826-07-01,14.482
1826-08-01,13.109
1826-09-01,11.178
1826-10-01,8.459
1826-11-01,6.634
1826-12-01,4.876
1827-01-01,3.593
1827-02-01,4.415
1827-03-01,6.141
1827-04-01,9.429
1827-05-01,11.807
1827-06-01,13.548
1827-07-01,14.684
1827-08-01,13.694
1827-09-01,10.883
1827-10-01,8.51
1827-11-01,6.279
1827-12-01,2.722
1828-01-01,595
1828-02-01,1.853
1828-03-01,5.729
1828-04-01,8.737
1828-05-01,11.281
1828-06-01,14.124
1828-07-01,14.384
1828-08-01,13.635
1828-09-01,10.08
1828-10-01,8.656
1828-11-01,5.957
1828-12-01,2.953
1829-01-01,2.032
1829-02-01,1.715
1829-03-01,5.061
1829-04-01,7.815
1829-05-01,11.336
1829-06-01,12.86
1829-07-01,14.225
1829-08-01,13.399
1829-09-01,10.598
1829-10-01,8.806
1829-11-01,5.003
1829-12-01,2.452
1830-01-01,2.957
1830-02-01,4.085
1830-03-01,4.454
1830-04-01,8.841
1830-05-01,10.202
1830-06-01,12.827
1830-07-01,14.942
1830-08-01,13.386
1830-09-01,10.54
1830-10-01,7.993
1830-11-01,7.493
1830-12-01,4.481
1831-01-01,2.182
1831-02-01,2.479
1831-03-01,4.558
1831-04-01,7.731
1831-05-01,10.994
1831-06-01,13.203
1831-07-01,13.58
1831-08-01,12.49
1831-09-01,9.946
1831-10-01,7.83
1831-11-01,4.412
1831-12-01,2.265
1832-01-01,1.717
1832-02-01,1.833
1832-03-01,4.65
1832-04-01,8.059
1832-05-01,10.489
1832-06-01,12.857
1832-07-01,13.727
1832-08-01,11.966
1832-09-01,10.426
1832-10-01,8.634
1832-11-01,4.262
1832-12-01,782
1833-01-01,2.006
1833-02-01,2.815
1833-03-01,4.521
1833-04-01,7.869
1833-05-01,10.581
1833-06-01,13.049
1833-07-01,13.803
1833-08-01,13.222
1833-09-01,11.236
1833-10-01,7.9
1833-11-01,6.596
1833-12-01,2.558
1834-01-01,334
1834-02-01,2.329
1834-03-01,5.736
1834-04-01,8.085
1834-05-01,11.234
1834-06-01,12.799
1834-07-01,14.197
1834-08-01,13.412
1834-09-01,11.571
1834-10-01,8.617
1834-11-01,6.355
1834-12-01,3.092
1835-01-01,2.551
1835-02-01,2.967
1835-03-01,4.507
1835-04-01,7.769
1835-05-01,10.171
1835-06-01,12.007
1835-07-01,13.129
1835-08-01,12.322
1835-09-01,9.942
1835-10-01,7.835
1835-11-01,4.312
1835-12-01,1.198
1836-01-01,1.67
1836-02-01,2.371
1836-03-01,5.448
1836-04-01,7.315
1836-05-01,10.279
1836-06-01,12.549
1836-07-01,13.646
1836-08-01,12.83
1836-09-01,10.812
1836-10-01,8.756
1836-11-01,3.814
1836-12-01,2.86
1837-01-01,1.94
1837-02-01,2.619
1837-03-01,3.865
1837-04-01,6.556
1837-05-01,9.973
1837-06-01,12.099
1837-07-01,13.526
1837-08-01,13.018
1837-09-01,10.805
1837-10-01,7.653
1837-11-01,4.169
1837-12-01,2.285
1838-01-01,-557
1838-02-01,1.563
1838-03-01,3.723
1838-04-01,7.383
1838-05-01,9.985
1838-06-01,12.742
1838-07-01,14.367
1838-08-01,13.568
1838-09-01,11.106
1838-10-01,8.526
1838-11-01,5.16
1838-12-01,2.613
1839-01-01,2.156
1839-02-01,3.482
1839-03-01,2.673
1839-04-01,7.892
1839-05-01,10.289
1839-06-01,12.548
1839-07-01,14.411
1839-08-01,14.07
1839-09-01,10.853
1839-10-01,8.219
1839-11-01,3.92
1839-12-01,1.074
1840-01-01,2.561
1840-02-01,2.102
1840-03-01,04.04
1840-04-01,7.943
1840-05-01,11.173
1840-06-01,13.411
1840-07-01,14.714
1840-08-01,13.086
1840-09-01,11.01
1840-10-01,7.505
1840-11-01,4.101
1840-12-01,1.909
1841-01-01,649
1841-02-01,2.468
1841-03-01,3.307
1841-04-01,6.77
1841-05-01,10.764
1841-06-01,13.062
1841-07-01,14.552
1841-08-01,13.708
1841-09-01,10.921
1841-10-01,8.765
1841-11-01,4.744
1841-12-01,2.548
1842-01-01,1.636
1842-02-01,2.787
1842-03-01,5.75
1842-04-01,8.31
1842-05-01,10.535
1842-06-01,12.629
1842-07-01,13.584
1842-08-01,13.241
1842-09-01,10.94
1842-10-01,8.307
1842-11-01,4.824
1842-12-01,3.73
1843-01-01,2.974
1843-02-01,3.92
1843-03-01,4.744
1843-04-01,7.83
1843-05-01,10.04
1843-06-01,12.53
1843-07-01,13.991
1843-08-01,13.295
1843-09-01,11.326
1843-10-01,8.722
1843-11-01,4.947
1843-12-01,3.765
1844-01-01,1.868
1844-02-01,2.038
1844-03-01,4.734
1844-04-01,7.389
1844-05-01,10.109
1844-06-01,12.84
1844-07-01,13.921
1844-08-01,13.046
1844-09-01,10.819
1844-10-01,8.7
1844-11-01,4.401
1844-12-01,1.891
1845-01-01,2.661
1845-02-01,1.627
1845-03-01,4.651
1845-04-01,8.158
1845-05-01,10.433
1845-06-01,12.863
1845-07-01,14.319
1845-08-01,13.556
1845-09-01,11.234
1845-10-01,7.782
1845-11-01,5.194
1845-12-01,1.736
1846-01-01,3.213
1846-02-01,3.376
1846-03-01,6.314
1846-04-01,7.473
1846-05-01,10.896
1846-06-01,13.53
1846-07-01,14.923
1846-08-01,14.121
1846-09-01,11.738
1846-10-01,8.229
1846-11-01,5.044
1846-12-01,3.776
1847-01-01,2.753
1847-02-01,3.602
1847-03-01,4.046
1847-04-01,7.98
1847-05-01,10.622
1847-06-01,12.828
1847-07-01,14.25
1847-08-01,13.414
1847-09-01,11.619
1847-10-01,8.618
1847-11-01,5.574
1847-12-01,1.726
1848-01-01,0.51
1848-02-01,3.726
1848-03-01,4.806
1848-04-01,8.11
1848-05-01,10.58
1848-06-01,13.247
1848-07-01,14.466
1848-08-01,13.268
1848-09-01,10.997
1848-10-01,8.655
1848-11-01,5.29
1848-12-01,2.099
1849-01-01,1.941
1849-02-01,2.638
1849-03-01,5.302
1849-04-01,7.028
1849-05-01,10.159
1849-06-01,13
1849-07-01,14.458
1849-08-01,13.603
1849-09-01,11.093
1849-10-01,8.89
1849-11-01,5.778
1849-12-01,1.923
1850-01-01,749
1850-02-01,3.071
1850-03-01,4.954
1850-04-01,7.217
1850-05-01,10.004
1850-06-01,13.15
1850-07-01,14.492
1850-08-01,14.039
1850-09-01,11.505
1850-10-01,8.091
1850-11-01,4.733
1850-12-01,2.803
1851-01-01,2.431
1851-02-01,2.508
1851-03-01,4.192
1851-04-01,7.287
1851-05-01,11.113
1851-06-01,13.418
1851-07-01,14.531
1851-08-01,13.751
1851-09-01,11.677
1851-10-01,9.122
1851-11-01,4.973
1851-12-01,3.14
1852-01-01,2.376
1852-02-01,2.54
1852-03-01,3.884
1852-04-01,7.487
1852-05-01,11.169
1852-06-01,13.164
1852-07-01,14.512
1852-08-01,13.304
1852-09-01,11.478
1852-10-01,8.91
1852-11-01,4.593
1852-12-01,3.785
1853-01-01,1.786
1853-02-01,2.228
1853-03-01,4.078
1853-04-01,7.541
1853-05-01,10.975
1853-06-01,13.41
1853-07-01,14.645
1853-08-01,13.953
1853-09-01,11.71
1853-10-01,8.535
1853-11-01,4.783
1853-12-01,2.858
1854-01-01,1.281
1854-02-01,1.941
1854-03-01,4.698
1854-04-01,7.622
1854-05-01,11.095
1854-06-01,12.829
1854-07-01,14.692
1854-08-01,13.889
1854-09-01,11.514
1854-10-01,9.763
1854-11-01,5.745
1854-12-01,3.457
1855-01-01,2.522
1855-02-01,2.982
1855-03-01,4.617
1855-04-01,8.58
1855-05-01,11.186
1855-06-01,12.984
1855-07-01,13.926
1855-08-01,13.547
1855-09-01,11.141
1855-10-01,8.444
1855-11-01,5.186
1855-12-01,2.214
1856-01-01,2.76
1856-02-01,2.226
1856-03-01,4.372
1856-04-01,7.751
1856-05-01,10.53
1856-06-01,13.496
1856-07-01,14.019
1856-08-01,13.021
